STT;Tên trang thiết bị;Chủng loại  (model) / Mã sản phẩm;Số lưu hành hoặc số giấy phép nhập khẩu;Năm sản xuất;Nước sản xuất;Hãng sản xuất;Hãng/ nước chủ sở hữu;Đơn vị tính; Số lượng ; Đơn giá trúng thầu (VNĐ) ;Tính năng kỹ thuật cơ bản;Đơn vị trúng thầu;Mã số thuế của đơn vị trúng thầu;Tên cơ sở y tế tổ chức đấu thầu;Số/ngày ban hành Quyết định trúng thầu;;;;;;;;;
35;Bóng đèn Halogen 24v - 40/50W;64656;"Số công bố: 230000381/PCBA-HCM
 Ngày công bố: 06/04/2023";2024;Đức;OSRAM GmbH;"
  Germany";Cái; 75 ; 300.000 ;"- Bóng đèn Halogen 24v - 40/50W, 
 - Đui xoáy cỡ E11. 
 - Tuổi thọ bóng tối thiểu 1.000 giờ; 
 - Ánh sáng: Màu Trắng ấm (2700-3500K)
 - Sử dụng tương thích cho đèn mổ treo trần";Công ty TNHH Thương mại và thiết bị Quang Minh;103809674;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1172/QĐ-BVĐK ngày 12/11/2024;;;;;;;;;
36;Dung dịch H2O2;HP-150S;170000865/PCBMB-HN ngày 14/8/2017;2024;Hàn Quốc;Hanshin Medical Co., Ltd;Hàn Quốc;Chai; 50 ; 1.838.000 ;Dung dịch khử khuẩn Hydro peroxide 35%, ( Hóa chất dùng trong tiệt khuẩn nhiệt độ thấp Plasma, đóng chai của nhà sản xuất phù hợp cho model máy HP – 4512);Công ty TNHH Thương mại và thiết bị Quang Minh;103809674;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1513/QĐ-BVĐK ngày 30/12/2024;;;;;;;;;
37;Dung dịch NAOH;NAOH 32%;TCCS 01-1:2020/HCVT ngày 05/6/2020;2024;Việt Nam;Công ty CP hóa chất Việt Trì;Việt Nam;Kg; 600 ; 11.000 ;"Công thức hóa học: NaOH
 Nồng độ: 32%
 Dạng tồn tại: dạng dung dịch vàng nhạt.";Công ty TNHH Thương mại và thiết bị Quang Minh;103809674;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1513/QĐ-BVĐK ngày 30/12/2024;;;;;;;;;
38;Bộ vật tư dùng cho máy khử khuẩn EO;AN1006.00;Số 220002232/PCBMB-HN ngày 03/11/2022;2024;Hoa Kỳ;Andersen Sterilzers, Inc;Hoa Kỳ;Bộ; 2 ; 22.000.000 ;Bộ vật tư tiêu hao sử dụng cho máy tiệt trùng nhiệt độ thấp EO, phù hợp cho model máy EO Gas 310;Công ty TNHH Thương mại và thiết bị Quang Minh;103809674;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1513/QĐ-BVĐK ngày 30/12/2024;;;;;;;;;
39;Muối công nghiệp;Nacl;106491313940 ngày 10/08/2024;2024;Ấn Độ;Kandla Global Exportsllp;Ấn Độ;Kg; 3.000 ; 12.500 ;Viên nén màu trắng. NaCl 99,5%;Công ty TNHH Thương mại và thiết bị Quang Minh;103809674;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1513/QĐ-BVĐK ngày 30/12/2024;;;;;;;;;
40;Chỉ phẫu thuật tự tiêu tổng hợp ARES - Chỉ Polyglactin 910 1;"EAB
 (EAB-EBHMA91ABB91)";2100694ĐKLH/BYT-TB-CT;2024;Việt Nam;Công ty Cổ phần nhà máy trang thiết bị y tế USM Healthcare;Công ty Cổ phần nhà máy trang thiết bị y tế USM Healthcare/ Việt Nam;Tép; 432 ; 29.500 ;"Chỉ phẫu thuật tự tiêu tổng hợp Polyglactin 910 - 1 kim, đa sợi, Polyglactin 910 (90% Glycolide acid, 10% Lactic acid)
 Đường kính 1, dài 90cm, phủ Polyglactin 370 + Calcium stearate, màu tím. Kim làm bằng thép không gỉ Martensitic 420 (AISI 420). Kim không mắt, kim Premium, công nghệ U-filo. Kim tròn, dài 40mm, bán kính cong kim 1/2C. Tan hoàn toàn trong 50 - 70 ngày.
 Giấy chứng nhận ISO 9001:2015, ISO 13485:2016, ISO 14001:2015, GMP FDA";Công ty Cổ phần nhà máy TTBYT USM Healthcare;312041033;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 857/QĐ-BVĐK ngày 10/09/2024;;;;;;;;;
41;Chỉ không tiêu tổng hợp Polyamide (Tổng hợp từ nylon 6 và Nylon 6.6) Số 6.0, chỉ dài 45cm, kim tam giác, cong 3/8C, dài 12mm;3I45CY12;12096NK/BYT-TB-CT;2023 trở về sau;Ấn Độ;Unisur Lifecare;Unisur Lifecare / Ấn Độ;Sợi; 108 ; 12.000 ;Chỉ phẫu thuật không tiêu đơn sợi-Unilon, dài 45cm, kim mũi kim tam giác 3/8 dài 12mm;Công ty TNHH Thiết bị Y tế Hoàng Anh;101581745;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 857/QĐ-BVĐK ngày 10/09/2024;;;;;;;;;
42;Gạc hút y tế khổ 0,8m;GHYT0.8m;240000023/PCBA-BN;2024;Việt Nam;Công ty TNHH Băng Gạc Y Tế Lợi Thành;Công ty TNHH Băng Gạc Y Tế Lợi Thành/Việt Nam;Mét; 45.000 ; 3.128 ;"Gạc được dệt từ sợi 100% cotton có độ thấm hút rất cao. Mật độ: 10x8 sợi/cm2. Trọng lượng 25-30 g/m2. Tẩy trắng bằng oxy già, không có độc tố, đã được giặt sạch. Không chứa chất gây dị ứng, không có tinh bột hoặc Dextrin, không có xơ mùn hòa tan trong nước và dịch phủ tạng. Tốc độ hút nước =< 5 giây. Độ ngậm nước ≥ 5gr nước/1gr gạc. Chất tan trong nước <0.5%. Độ pH: trung tính. Độ trắng: ≥ 80% +/- 10%. Muối kim loại: không quá hàm lượng cho phép. Hàm lượng chất béo: không vượt quá 0,5%.
 Khổ 0.8m. 1.000 mét/kiện.
 Đạt tiêu chuẩn chất lượng: ISO 13485:2016 , ISO 9001: 2015, Tiêu chuẩn CE...";Công ty TNHH Băng Gạc Y Tế Lợi Thành;2301037751;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 857/QĐ-BVĐK ngày 10/09/2024;;;;;;;;;
43;Tấm trải nylon vô trùng;TT1;170000007/PCBA-NĐ;2023 trở về sau;Việt Nam;An Lành;An Lành / Việt Nam;Cái; 800 ; 4.830 ;Nylon mảnh HD Màu sắc đồng đều, có độ trong,bóng bề mặt, có độ cứng nhất định, dễ gấp nếp. Không dính bụi bẩn, tạp chất, ko rách thủng, ko kích ứng da. Trọng lượng (g/cái): 34g – 35g/m2 (± 1g). Tiệt trùng bằng khí EO.Gas;Công ty TNHH Thiết bị Y tế Hoàng Anh;101581745;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 857/QĐ-BVĐK ngày 10/09/2024;;;;;;;;;
44;Túi camera vô trùng;TCMR;170000005/PCBA-NĐ;2023 trở về sau;Việt Nam;An Lành;An Lành / Việt Nam;Gói; 1.500 ; 6.300 ;"1. Ống nylon 18 x 230 cm. Dây buộc 2 ly 2 x60 cm
 2.Túi nylon 9 x 14 cm. Dây buộc 2 ly 2 x 30cm
 Màu sắc đồng đều, có độ trong,bề mặt mịn có độ dẻo dai.
 + Dây cotton màu trắng, có độ bền cao.
 Yêu cầu an toàn: Không dính bụi bẩn, tạp chất, ko rách, thủng, ko kích ứng da…
 Được đóng gói trong bao bì giấy có màu chỉ thị tiệt trùng dùng trong y tế. Tiệt trùng bằng khí EO.Gas. chứng nhận CE, cGMP- FDA";Công ty TNHH Thiết bị Y tế Hoàng Anh;101581745;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 857/QĐ-BVĐK ngày 10/09/2024;;;;;;;;;
45;Dung dịch bảo quản quả lọc thận (MDT PLUS 4);MDT-PAA-4;230000633/PCBB-HN;2023 trở về sau;Thái Lan;Thai Peroxide Company Limited;Meditop Co., Ltd / Thái Lan;Lít; 35 ; 395.000 ;"Thành phần dung dịch chứa:
 - Peracetic acid: 5%
 - Hydrogen Peroxide: 25%
 - Acetic Acid: 9%";Công ty TNHH Thiết bị Y tế Hoàng Anh;101581745;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 881/QĐ-BVĐK ngày 13/09/2024;;;;;;;;;
46;Catheter chạy thận nhân tạo 2 nòng, 2 cây nong, các loại, các cỡ;TGHCBSJY2-12-20D;;2023 trở về sau;Trung Quốc;Beijing Target Medical Technologies Inc;Beijing Target Medical Technologies Inc / Trung Quốc;Bộ; 250 ; 231.000 ;"Kích thước 12F - 20cm. Bao gồm:
 1 catheter 2 đường chất liệu polyurethane có cản quang; 1 Guidewire; 1 kim chữ Y 18G; 2 nòng; kèm dao; chỉ liền kim";Công ty TNHH Thiết bị Y tế Hoàng Anh;101581745;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 881/QĐ-BVĐK ngày 13/09/2024;;;;;;;;;
47;Vít treo cố định dây chằng chéo điều chỉnh chiều dài Ethos Button AL;HNM-OBAL-80-TI;Số GPNK: 14365NK/BYT-TB-CT;2023 trở về sau;Hoa Kỳ;HNM Medical;HNM Medical - Hoa Kỳ;Cái; 12 ; 8.000.000 ;Vít cấu tạo gồm một vòng chỉ chất liệu poylyethylene cao phân tử ( UHMWPE) với 3 điểm khóa, kết hợp với 1 tấm titanium và hai sợi chỉ kéo. Tấm titanium chất liệu Ti-6AL-4V có 4 lỗ, chiều cao 1.5mm, chiều rộng 4mm, chiều dài 12mm. Có một cỡ dùng cho tái tạo dây chằng chéo, có thể điều chỉnh chiều dài từ ≤15mm tới ≥60mm.;Công ty TNHH Thiết bị Y tế Hoàng Anh;101581745;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 881/QĐ-BVĐK ngày 13/09/2024;;;;;;;;;
48;Nẹp tái tạo (mắt xích), thẳng, vít 3.5mm;A100 02 220 0006;15176NK/BYT-TB-CT;2023 trở về sau;Thổ Nhi Kỳ;Aysam Ortopedi ve Tibbi Aletler San. Tic. Ltd. Sti;Aysam Ortopedi ve Tibbi Aletler San. Tic. Ltd. Sti / Thổ Nhi Kỳ;Cái; 10 ; 1.290.000 ;"Nẹp có kích thước (dày 2.2mm; rộng: 10mm; khoảng cách lỗ nẹp: 10.5mm) 
 - Số lỗ trên thân nẹp: 6 lỗ; tương ứng với chiều dài 72mm 
 - Chất liệu thép không gỉ.
 Đạt chất lượng ISO 13485 và EC";Công ty TNHH Thiết bị Y tế Hoàng Anh;101581745;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 881/QĐ-BVĐK ngày 13/09/2024;;;;;;;;;
49;Bộ dụng cụ đổ xi măng không bóng tạo hình thân đốt sống;"T0604xx
 T0405xx
 T06043x";220000429/PCBB-BYT ngày 10/01/2022;2023;Pháp/ Ý;Teknimed SAS/ Adria S.r.l;Teknimed SAS/ Pháp;Bộ; 11 ; 17.036.000 ;"Hệ thống bộ trộn và bơm áp lực xi măng không cần tiếp xúc trực tiếp với xi măng và được bơm từ phía ngoài tia X, có tính năng tự động kiểm soát áp lực . Quá trình bơm được kiểm soát và đo lường theo chu kì 1/4 vòng. Có thể điều chỉnh áp lực tối đa 120 bar và dung tích lên đến 10cc. Bao gồm súng bơm xi măng và ống nối dài có khóa Luer-Lock chất liệu EPDM, thép không gỉ; bộ trộn chất liệu PP, EPDM; phếu chất liệu ABS; bóng lắc chất liệu kim loại;
 Xi măng: gồm một ống chất lỏng monomer vô trùng 9.2g (gồm Methyl methacrylate, N-N dimethyl-p-toluidine, Hydroquinone) và một gói 25.8g bột polymer (thành phần Polymethylmethacrylate, Methyl methacrylate/ styene copolymer, Benzoyl peroxide, Ziconium Dioxide. Xi măng có độ nhớt trung bình, tỏa nhiệt dưới 45° C. Xi măng được trộn 30 giây, 5 phút sau khi trộn xi bắt đầu đông đặc, an toàn để nhồi. 
 Kim chọc dò mũi vát: Phần cán làm bằng nhựa, phần kim làm bằng thép không gỉ. Kim chọc dò loại 11G/13G chiều dài làm việc 125mm, chiều dài tổng là 189mm. Kim gồm có 2 phần: kim 13G đường kính nòng 2.0mm, đường kính canula 2.5mm*2.1mm; kim 11G đường kính nòng 2.5mm, đường kính canula 3.2mm*2.6mm. Có đường đánh dấu laser trên thân cho phép kiểm soát độ sâu.
 Đạt tiêu chuẩn CE. Xuất xứ từ các nước G7";Công ty Cổ phần Đầu tư Tuấn Ngọc Minh;103086880;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1006/QĐ-BVĐK ngày 08/10/2024;;;;;;;;;
50;Bộ bơm tiêm áp lực cao dùng 1 lần;"HK-10042, HK-10014; HK-10021; HK-10024; HK-10016; HK-30010";240000963/PCBB-HN;2023 trở về sau;Trung Quốc;Jiangxi Hawk Medical Supplies Co., Ltd;Jiangxi Hawk Medical Supplies Co., Ltd/Trung Quốc;Bộ; 800 ; 135.000 ;Bơm tiêm điện, dùng để bơm tiêm thuốc cản quang sử dụng cho máy chụp cắt lớp vi tính, loại 200ml;Công ty TNHH Thiết bị Y tế Đức Tín;107748567;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1043/QĐ-BVĐK ngày 16/10/2024;;;;;;;;;
51;Vít đa trục lưng;01-PA-xx-xx;GPNK số 11912NK/BYT-TB-CT;2023;Hoa Kỳ;Pioneer Surgical Technology Inc.;Pioneer Surgical Technology Inc./ Hoa Kỳ;Cái; 36 ; 4.311.000 ;Chất liệu bằng titanium. Bước ren trên thân vít được thiết kế theo công nghệ bước ren đôi, khoảng cách bước ren đôi 5.3mm. Đầu mũ vít dài 15.5mm, đường kính mũ 14mm, chiều rộng phần đặt dọc 5.7mm. Chiều rộng mũ vít phần vuông góc với thanh dọc 14.0mm, chiều rộng mũ vít phần song song với thanh dọc 11.7mm. Góc cổ vít hình nón 60 độ. Đường kính các cỡ từ 4.5 đến 7.5 mm, chiều dài thân vít từ 20 - 60mm (mỗi bước tăng 5mm);CÔNG TY CỔ PHẦN ĐẦU TƯ TUẤN NGỌC MINH;103086880;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1081/QĐ-BVĐK ngày 23/10/2024;;;;;;;;;
52;Vít khóa trong cho bộ nẹp vít lưng;01-SETSCREW;GPNK số 11912NK/BYT-TB-CT;2023;Hoa Kỳ;Pioneer Surgical Technology Inc.;Pioneer Surgical Technology Inc./ Hoa Kỳ;Cái; 36 ; 720.000 ;Chất liệu hợp kim titanium, thiết kế nhằm hạn chế tình trạng xiết ốc lệch bước ren, đường kính ngoài 9.6mm, đường kính trong 7.9mm, chiều cao 5.1mm.;CÔNG TY CỔ PHẦN ĐẦU TƯ TUẤN NGỌC MINH;103086880;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1081/QĐ-BVĐK ngày 23/10/2024;;;;;;;;;
53;Nẹp dọc lưng;10-55-RH-xxx;GPNK số 11912NK/BYT-TB-CT;2023;Hoa Kỳ;Pioneer Surgical Technology Inc.;Pioneer Surgical Technology Inc./ Hoa Kỳ;Cái; 6 ; 1.611.000 ;Nẹp dọc đường kính 5.5mm đồng bộ vít cố định, chất liệu titanium, chiều dài 200mm;CÔNG TY CỔ PHẦN ĐẦU TƯ TUẤN NGỌC MINH;103086880;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1081/QĐ-BVĐK ngày 23/10/2024;;;;;;;;;
54;Nẹp cổ trước 1 tầng;27-1xx;GPNK số 14817NK/BYT-TB-CT;2023;Hoa Kỳ;Pioneer Surgical Technology Inc.;Pioneer Surgical Technology Inc./ Hoa Kỳ;Cái; 5 ; 4.905.000 ;"Nẹp được làm bởi chất liệu Titanium Ti-6A1-4V với hệ thống khóa Zero-step, zero-profle. Nẹp có các lỗ tự khóa trên thân với công nghệ khóa xoay nitinol.Thiết kế các cấu trúc bán hạn chế (semi-constrained), hạn chế (constrained) và hybrid. Chiều dài từ 10 đến 18mm (mỗi bước tăng 2mm). Nẹp cong 18 độ. Chiều dày của nẹp: 2,45mm. Chiều rộng nẹp: chỗ rộng nhất: 18,3mm; chỗ hẹp nhất: 14mm.";CÔNG TY CỔ PHẦN ĐẦU TƯ TUẤN NGỌC MINH;103086880;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1082/QĐ-BVĐK ngày 23/10/2024;;;;;;;;;
55;Nẹp cổ trước 2 tầng;27-2xx;GPNK số 14817NK/BYT-TB-CT;2023;Hoa Kỳ;Pioneer Surgical Technology Inc.;Pioneer Surgical Technology Inc./ Hoa Kỳ;Cái; 3 ; 8.505.000 ;"Nẹp được làm bởi chất liệu Titanium Ti-6A1-4V với hệ thống khóa Zero-step, zero-profle. Nẹp có các lỗ tự khóa trên thân với công nghệ khóa xoay nitinol. Thiết kế các cấu trúc bán hạn chế (semi-constrained), hạn chế (constrained) và hybrid. Chiều dài từ 26 đến 38mm (mỗi bước tăng 2mm) và 41mm. Nẹp cong 18 độ. Chiều dày của nẹp: 2,45mm. Chiều rộng nẹp: chỗ rộng nhất: 18,3mm; chỗ hẹp nhất: 14mm";CÔNG TY CỔ PHẦN ĐẦU TƯ TUẤN NGỌC MINH;103086880;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1082/QĐ-BVĐK ngày 23/10/2024;;;;;;;;;
56;Vít cổ trước;27-4x-xxx-xx;GPNK số 14817NK/BYT-TB-CT;2023;Hoa Kỳ;Pioneer Surgical Technology Inc.;Pioneer Surgical Technology Inc./ Hoa Kỳ;Cái; 38 ; 1.701.000 ;Vít chất liệu Ti-6Al-4V đường kính ngoài 4.0 và 4.5mm với màu sắc tương ứng, có loại tự taro hoặc tự khoan, đường kính trong 2,6 và 3,1mm. Chiều dài vít tự khoan từ 12-16mm, vít tự taro từ 12-18mm (bước tăng 2mm). Bước ren 1,6mm. Góc vít đầu- ngang cuối lên tới 18° (+/- 9° từ góc cố định), Góc vít giữa-bên 4° - 14° (+/- 5° từ góc cố định).;CÔNG TY CỔ PHẦN ĐẦU TƯ TUẤN NGỌC MINH;103086880;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1082/QĐ-BVĐK ngày 23/10/2024;;;;;;;;;
57;Miếng ghép đĩa đệm cột sống cổ;"30-CW-xxxx-x/ 30-CW-xxxx-xx/
 30-C-xxxx-x/
 30-C-xxxx-xx";GPNK số 14817NK/BYT-TB-CT;2023;Hoa Kỳ;Pioneer Surgical Technology Inc.;Pioneer Surgical Technology Inc./ Hoa Kỳ;Cái; 5 ; 7.740.000 ;Đĩa đệm cổ vật liệu PEEK, ba điểm đánh dấu trục tantalium, được thiết kế với bề mặt răng cưa. Các góc cạnh tròn. Rãnh trung tâm rộng. Kích thước từ 14x12mm, 14x14mm, 14x16mm, chiều cao 5,6,7,8,9,10mm;CÔNG TY CỔ PHẦN ĐẦU TƯ TUẤN NGỌC MINH;103086880;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1082/QĐ-BVĐK ngày 23/10/2024;;;;;;;;;
58;Sản phẩm sinh học thay thế xương dạng bột mềm;920-xxx;GPNK số 13654NK/BYT-TB-CT;2023;Vương quốc Liên hiệp Anh và Bắc Ireland;Biocomposites Ltd.;Biocomposites Ltd./ Vương quốc Liên hiệp Anh và Bắc Ireland;Gói; 6 ; 7.452.000 ;"Được dùng trực tiếp ghép xương, hấp thụ hoàn toàn trong vòng 12 tháng, Tăng cường phản ứng mô tạo xương, Phục hồi xương khoẻ mạnh. Cấu tạo: từ ß-tricalcium phosphate và calcium sulfate. Đóng gói 2,5cc/1 gói
 Đạt tiêu chuẩn CE, xuất xứ từ Anh";CÔNG TY CỔ PHẦN ĐẦU TƯ TUẤN NGỌC MINH;103086880;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1082/QĐ-BVĐK ngày 23/10/2024;;;;;;;;;
59;Ống thông tiểu thẳng - Nelaton Catheter;30010, 30011, 30012, 30013, 30014, 30015, 30016, 30017, 30018, 30019;220000006/PCBB-BD;2024 trở về sau;Ấn Độ;PolyMedicure Limited;PolyMedicure Limited / Ấn Độ;Cái; 200 ; 6.300 ;"Chất liệu PVC không độc hại, không gây kích ứng
 Màu sắc mã hóa xác định kích thước. Chiều dài: 40 cm
 Kích thước: Fr6 đến Fr24";Công ty TNHH Thiết bị Y tế Hoàng Anh;101581745;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1129/QĐ-BVĐK ngày 31/10/2024;;;;;;;;;
60;Kẹp rốn trẻ sơ sinh Tanaphar;KR.TNP;180000114/PCBA-HN;2024 trở về sau;Việt Nam;Tanaphar;Tanaphar / Việt Nam;Cái; 10.000 ; 1.470 ;"Nhựa nguyên sinh đạt tiêu chuẩn, không chứa DEHP, không gây độc, không gây kích ứng. Gồm 2 phần nối với nhau bằng các khớp răng, màu trắng trong, cứng, nhẵn.
 - Sản phẩm được tiệt trùng bằng khí Ethylene Oxide (E.O)";Công ty TNHH Thiết bị Y tế Hoàng Anh;101581745;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1129/QĐ-BVĐK ngày 31/10/2024;;;;;;;;;
61;Kim khâu phẫu thuật;GT044-001;230001182/PCBB-HCM;2024 trở về sau;Trung Quốc;Jiangxijiayuan Medical Devices Co.,Ltd;"Nhà Sản xuất: Jiangxijiayuan Medical Devices Co.,Ltd / Trung Quốc
 Chủ sở hữu: Ningbo Greetmed Medical Instruments Co.,Ltd / Trung Quốc";Cái; 16.000 ; 1.365 ;Dùng để khâu vết thương;Công ty TNHH Thiết bị Y tế Hoàng Anh;101581745;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1129/QĐ-BVĐK ngày 31/10/2024;;;;;;;;;
62;Chỉ thép liền kim số 5, kim tam giác 1/2C kim 48mm;ST55;3792NK/BYT-TB-CT;2024 trở về sau;Bỉ;SMI AG;SMI AG / Bỉ;Sợi; 700 ; 69.300 ;Được làm từ hợp kim sắt nghèo carbon, dài 45 cm;Công ty TNHH Thiết bị Y tế Hoàng Anh;101581745;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1129/QĐ-BVĐK ngày 31/10/2024;;;;;;;;;
63;Giemsa 500ml;MI 005 ST;180001893/PCBA-HCM;2024 trở về sau;Việt Nam;Nam Khoa;Nam Khoa / Việt Nam;Chai; 5 ; 1.785.000 ;Dung dịch trong;Công ty TNHH Thiết bị Y tế Hoàng Anh;101581745;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1129/QĐ-BVĐK ngày 31/10/2024;;;;;;;;;
64;Que lấy mẫu bệnh phẩm cán gỗ;HSSS01-W;210001789/PCBA-HN;2024 trở về sau;Trung Quốc;Henso Medical ( Hangzhou) Co.,Ltd;Henso Medical ( Hangzhou) Co.,Ltd / Trung Quốc;Hộp; 15 ; 147.000 ;Que lấy mẫu bệnh phẩm cán gỗ được sử dụng để lấy và vận chuyển các mẫu dịch âm đạo, dịch niệu đạo…Sản phẩm sử dụng một lần;Công ty TNHH Thiết bị Y tế Hoàng Anh;101581745;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1129/QĐ-BVĐK ngày 31/10/2024;;;;;;;;;
65;Lưỡi dao mổ Kiato;Size 10, 11, 12, 15, 20, 21, 22;220000162/PCBB-HN;2024 trở về sau;Ấn Độ;Kehr Surgical Private Limited;Kehr Surgical Private Limited / Ấn Độ;Cái; 16.000 ; 1.050 ;Tiệt trùng bằng tia gama, các số khác nhau.;Công ty TNHH Thiết bị Y tế Hoàng Anh;101581745;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1129/QĐ-BVĐK ngày 31/10/2024;;;;;;;;;
66;Sonde foley 2 nhánh;"HTB0512R; HTB0406R; HTB0408R; HTB0410R; HTB0406P; HTB0408P; HTB0410P; HTB0512R; HTB0514R; HTB0516R; HTB0518R; HTB0520R; HTB0522R; HTB0524R; HTB0526R; HTB0528R; HTB0530R";240001503/PCBB-HN;2024 trở về sau;Trung Quốc;Hitec Medical Co., Ltd.;Hitec Medical Co., Ltd / Trung Quốc;Cái; 8.000 ; 9.450 ;Bóng hãm (Cuff) đàn hồi tốt, an toàn, bóng căng đều, không bị vỡ, bị dính khi đặt lâu. Chất liệu cao su y tế, tráng Silicon trong lòng, không DEHP với bóng chèn 30ml/cc. Bóng hãm hình trụ, đầu ống thông có lỗ thông tiểu, van bơm bóng bằng cao su. . Kích thước: Số 14;Công ty TNHH Thiết bị Y tế Hoàng Anh;101581745;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1129/QĐ-BVĐK ngày 31/10/2024;;;;;;;;;
67;Dung dịch thẩm phân máu đậm đặc ( HD Plus 8.4B Bicarbonat );8750304;2400008ĐKLH/BYT-HTTB, ngày 02/02/2024;2023 trở về sau;Việt Nam;Công ty TNHH B. Braun Việt Nam;B.Braun Avitum AG/Đức;Lít; 130.000 ; 16.590 ;"Thành phần: 1 lít dung dịch đậm đặc chứa:
 - Natri Bicarbonate: 84,00 g
 - Dinatri edetat: 0,05 g
 - Nước tinh khiết vừa đủ 1 lít";Công ty TNHH Thiết bị Y tế Hoàng Anh;101581745;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1328/QĐ-BVĐK ngày 05/12/2024;;;;;;;;;
68;VIDAS B.R.A.H.M.S PCT;30450;2300878ĐKLH/BYT-HTTB;2023 trở về sau;Pháp;BIOMERIEUX SA;BIOMERIEUX SA/ Pháp;Hộp; 7 ; 19.530.000 ;"Xét nghiệm phát hiện procalcitonin người trong huyết thanh hoặc huyết tương của người bằng kỹ thuật ELFA (Enzyme-Linked Fluorescent Assay - Phương pháp Enzym có gắn huỳnh quang). 
 Bộ kit gồm 60 thanh hóa chất PCT, 60 đầu côn pha rắn PCT, 2x2ml chất chuẩn S1, 2x2ml chất chuẩn S2 và 2x2ml chất chứng C1, 2x2ml chất chứng C2";Công ty cổ phần Thiết bị Việt Ba;100916798;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1462/QĐ-BVĐK ngày 20/12/2024;;;;;;;;;
