STT;Mã Đơn Vị;Mã khối;Tên Đơn Vị;Địa chỉ;Giờ;Thứ;Ngày;Tại;Địa chỉ
91;NI0044I;NI;Trường MN Con Mèo Vàng;AG22, CC The Eastern, đường Liên Phường, P. Phú Hữu, Q.9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
92;NI0045I;NI;Nhóm trẻ Bình Minh;300 Hoàng Hữu Nam, P. Long Thạnh Mỹ, Q.9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
93;NI0046I;NI;Trường MN Mẹ Yêu Con;Số 80 Đường Quang Trung, P. Tăng Nhơn Phú B, Q.9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
94;NI0047I;NI;Trung tâm Ngoại ngữ - Tin học úc Anh;A12/2A Lê Văn Việt, KP2, P. Tăng Nhơn Phú A, Q.9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
95;NI0049I;NI;Trường Mầm Non Tư Thục Thăng Long;117 Đường D3, Phước Long B, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
96;NI0050I;NI;Lớp Mẫu Giáo Minh Trang;133A-133B Đường Lò Lu, P. Trường Thạnh, Quận 9, TPHCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
97;NI0051I;NI;Mầm Non Tâm Đức;16 đường 147, Kp3, P.Phước Long B, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
98;NI0052I;NI;Trung Tâm Dạy Nghề Lái Xe Bạch Đằng;16 đường 1, ấp Giãn Dân, P.Long Thạnh Mỹ, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
99;NI0053I;NI;Nhóm trẻ Bé Ngoan;25 đường 160, Kp3, P.Tăng Nhơn Phú A, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
100;NI0054I;NI;Lớp MG Tư Thục Gấu Anh;2/2 Nguyễn Trãi, KP2, P.Hiệp Phú, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
101;NI0055I;NI;Nhóm trẻ Thỏ Trắng;2D Đường Lò Lu, KP Phước Hiệp, P. Trường Thạnh, Quận 9, TP. HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
102;NI0056I;NI;Trung Tâm Ngoại Ngữ Nhật - Anh Chuyên Gia;165 Đại lộ 3, P.Phước Bình, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
103;NI0057I;NI;Nhóm Trẻ Cô & Bé;747A Nguyễn Duy Trinh, P.Phú Hữu, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
104;QI0003I;QI;Cty CP Khoáng sản và Đầu tư Sài Gòn;20 ấp Giãn Dân, Đường 13, P. Long Bình, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
105;QI0009I;QI;Cty TNHH MTV Dịch vụ công ích Quận 9;25B Lê Văn Việt, P. Hiệp Phú, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
106;QI0010I;QI;Cty TNHH Tư Vấn & XD Đại học Giao Thông Vận Tải tại TP. Hồ Chí Minh;P1, Nhà D1, Cơ sở II ĐH Giao Thông Vận Tải, P. Tăng Nhơn Phú A, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
107;QI0012I;QI;Cty Cổ phần Quốc tế Phong phú;Đường Tăng Nhơn Phú, P. Tăng Nhơn Phú B, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
108;QI0015I;QI;Công ty Cổ phần Địa ốc 9;Km11+300 Xa Lộ Hà Nội, P. Hiệp Phú, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
109;QI0016I;QI;Công ty Cổ Phần Nam Việt;18 Tăng Nhơn Phú, Phước Long B, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
110;QI0017I;QI;Công Ty  CP Bê Tông Ly Tâm Thủ Đức;356A Xa Lộ Hà Nội, P. Phước Long A, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
111;QI0018I;QI;CN CTY TNHH MTV An Phú;99 Lê Văn Việt, P.Tăng Nhơn Phú A, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
112;QI0020I;QI;Quỹ Tín Dụng Nhân Dân Long Phú;113 Đỗ Xuân Hợp, P.Phước Long B, Q.9, HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
113;QW0090I;QW;Cty Cổ phần Xây Dựng 41;50C Xa Lộ Hà Nội- P. Phước Long A, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
114;QW0126I;QW;Công ty CP Len Việt Nam;63 Hồ Bá Phấn, Khu phố 4, P. Phước Long A, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
115;QW0305I;QW;Xí Nghiệp Xây Lắp Điện 2.9;356A Xa Lộ Hà Nội, P. Phước Long A,Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
116;QW0535I;QW;Chi nhánh Công ty TNHH MTV Xây Lắp Điện 2 - Xí Nghiệp Xây Dựng;354A, Quốc Lộ 52, P. Phước Long A, Quận 9, HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
117;QW0710I;QW;Ngân hàng Nông nghiệp & PTNT Quận 9;284 Lê Văn Việt, P.Tăng Nhơn Phú B, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
118;QW0712I;QW;Cty Cổ Phần Len Việt Nam;63 Hồ bá Phấn, P.Phước Long A, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
119;QW0717I;QW;Ngân hàng TMCP Ngoại Thương Việt Nam - Chi Nhánh Gia Định;423-425 Lê Văn Việt, P.Tăng Nhơn Phú A, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
120;QW0718I;QW;Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Cát Lái SG;Tòa nhà số 97-99, Đường Đỗ Xuân Hợp, P. Phước Long B, Quận 9, TP.HCM;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
121;QW0719I;QW;Ngân hàng TM CP Sài Gòn Thương Tín - CN Quận 9;270-272 Đỗ Xuân HỢp, P.Phước Long A, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
122;QZ0362I;QZ;Công ty CP P/S;513C Nam hòa, P.Phước Long A, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
123;QZ0363I;QZ;Công ty CP Nhà tiền Chế NHATICO;đường Nguyễn Xiển, P.Long Bình, Quận 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
124;SI0001I;SI;Bệnh viện Quận 9;Lê Văn Việt, P. Tăng Nhơn Phú A, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
125;SI0002I;SI;Trung tâm Thể dục Thể thao;343 Lê Văn Việt, Khu Phố 1, P. Tăng Nhơn Phú A, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
126;SI0003I;SI;Chi cục thuế Quận 9;25B  Lê Văn Việt, P. Hiệp Phú, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
127;SI0004I;SI;Ban Quản lý Đầu tư XDCT Quận 9;420 Hai Bà Trưng , P. Hiệp Phú, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
128;SI0006I;SI;Trung tâm Văn hóa Quận 9;183A Đỗ Xuân Hợp, P. Phước Long B, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
129;SI0007I;SI;Ban bồi thường giải phóng mặt bằng;46/11 Đường Tân Lập 1, KP3, P. Hiệp Phú, Q. 9, TP. HCM;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
130;SI0008I;SI;Trung tâm Y tế Quận 9;Khu phố 2, Đình Phong Phú, P. Tăng Nhơn Phú B, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
131;SI0009I;SI;Phân Viện Miền Nam;261 Hoàng Hữu Nam, P.Tân Phú, Q.9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
132;SI0010I;SI;Phân hiệu Trường Đại học Giao Thông Vận Tải tại TP. Hồ Chí Minh;450 Lê Văn Việt, P Tăng Nhơn Phú A, Q9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
133;SI0011I;SI;Trường Mầm Non Tuổi Hoa;Đường 120, tổ 1, Kp2, Tân Phú, Q.9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
134;SI0012I;SI;Trường THPT Nguyễn Văn tăng;Nguyễn Xiển, p. Long Bình, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
135;SI0013I;SI;Trường TH Long Bình;Khu tái định cư Phước Thiện, P. Long Bình, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
136;SI0014I;SI;Trường TH Long Thạnh Mỹ;ấp 1, P. Long Thạnh Mỹ, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
137;SI0015I;SI;Trường TH Phú Hữu;Đường 898, KP 4, Phường Phú Hữu , Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
138;SI0016I;SI;Trường TH Phước Bình;Đường 18   P. Phước  Bình, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
139;SI0017I;SI;Trường TH Võ Văn Hát;KP 5   Đ Đỗ Xuân Hợp, P. Phước Long B, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
140;SI0018I;SI;Trường TH Đinh Tiên Hoàng;Số 3, KP2, Quang Trung, P. Hiệp Phú, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
141;SI0019I;SI;Trường TH Hiệp Phú;Khu Phố 4, P. Hiệp Phú, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
142;SI0020I;SI;TrườngTH Trương Văn Thành;P. Tăng Nhơn Phú A, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
143;SI0021I;SI;Trường TH Nguyễn Minh Quang;284 ấp Giản Dân, P. Long Thạnh Mỹ, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
144;SI0022I;SI;Trường TH Phước Thạnh;P. Long Trường, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
145;SI0023I;SI;Trường TH Long Phước;ấp Long Thuận, P. Long Phước, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
146;SI0024I;SI;Trường TH Phong Phú;Khu Phố 3, P. Tăng Nhơn Phú B, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
147;SI0025I;SI;Trường TH Tân Phú;120 Đường 138 ấp Cây Dầu, P.Tân Phú, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
148;SI0026I;SI;Trường TH Tạ Uyên;ấp Vịnh Thuận, P. Long Bình, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
149;SI0027I;SI;Trường TH Bùi Văn Mới;Hồ Bá Phấn, P.Phứơc Long A, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
150;SI0028I;SI;Trường TH Trường Thạnh;Đường 3, ấp  Phước Hiệp  P.Trường Thạnh, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
151;SI0030I;SI;Trường THCS Tân Phú;119 Nam Cao, Tân Phú, Q.9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
152;SI0031I;SI;Trường THCS Hưng Bình;819 Nguyễn Xiển - Long Hòa P. Long Thạnh Mỹ, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
153;SI0032I;SI;Trường THCS Phước Bình;Số 2 Đường 22, P. Phước Bình, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
154;SI0033I;SI;Trường THCS Đặng Tấn Tài;Đường 128, Kp4, Phước Long A, Q.9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
155;SI0034I;SI;Trường THCS Trần Quốc Toản;381 Lê Văn Việt P. Tăng Nhơn Phú A, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
156;SI0035I;SI;Trường THCS Hoa Lư;Khu phố 2, Quang Trung, Tăng Nhơn Phú B, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
157;SI0036I;SI;Trường THCS Long Trường;Ông Nhiêu, Nguyễn Duy Trinh, P. Long Trường, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
158;SI0037I;SI;Trường THCS Long Phước;18 đường 6 Long Thuận  P. Long Phước, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
159;SI0038I;SI;Trường THCS Phú Hữu;Tân Điền A, P. Phú Hữu, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
160;SI0039I;SI;Trường THCS Long Bình;ấp Bến Đò, P. Long Bình, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
161;SI0040I;SI;Trường THCS Trường Thạnh;Lò Lu, P. Trường Thạnh, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
162;SI0041I;SI;Trường THCS Tăng Nhơn Phú B;Đường Dương Đình Hội, P. Tăng Nhơn Phú B, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
163;SI0042I;SI;Trung Tâm Giáo Dục Thường Xuyên;Đường Đình Phong Phú,KP1,P TNP A, Q9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
164;SI0044I;SI;Trường MN Tân Phú;ấp Cây Dầu, P. Tân Phú, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
165;SI0045I;SI;Trường MN Hoàng Yến;Lê Văn Việt P. Tăng Nhơn Phú A, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
166;SI0046I;SI;Trường MN Sơn Ca;19 Đường Nguyễn Văn Tăng, ấp Mỹ Thành, P. Long Thạnh Mỹ, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
167;SI0047I;SI;Trường MN Vàng Anh;Đường 265 Khu Phố 4, P. Hiệp Phú, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
168;SI0048I;SI;Trường MN Tuổi Thơ;Đường 893, Khu phố 2, P. Phú Hữu, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
169;SI0049I;SI;Trường MN Long Trường;Phước Lai, P. Long Trường, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
170;SI0050I;SI;Trường MN  Hoa Sen;Đỗ Xuân Hợp, P. Phước Long A, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
171;SI0051I;SI;Trường MN Phước Bình;Đường 22, P. Phước Bình, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
172;SI0052I;SI;Trường MN Long Phước;ấp Long Thuận , P. Long Phước, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
173;SI0053I;SI;Trường MN Hiệp Phú;2/100 Đường Tú Xương, P. Hiệp Phú, Q.9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
174;SI0054I;SI;Trường MN Long Bình;12 Trần Trọng khiêm, P. Long Bình, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
175;SI0055I;SI;Trường MN Phong Phú;Khu Phố 3, P. Tăng Nhơn Phú B, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
176;SI0056I;SI;Trường MN Trường Thạnh;Đường Lò Lu, P. Trường Thạnh, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
177;SI0057I;SI;Trường  MN  Hoa Lan;Đường 22 Khu phố 4, P. Phước Long B, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
178;SI0058I;SI;Trường MN Tuổi Hồng;Đường Man Thiện, KP5, P.Tăng Nhơn Phú A, Q9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
179;SI0059I;SI;Trường MN Tuổi Ngọc;265 KP4, P.Hiệp Phú, Q9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
180;SI0060I;SI;Trung Tâm KT Hướng Nghiệp;46/11 Lê Văn Việt, P.Hiệp Phú, Q.9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
181;SI0061I;SI;Trường bồi dưỡng giáo dục Quận 9;46/11  tân lập 1, kp3, hiệp phú, quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
182;SI0062I;SI;Nhà Thiếu Nhi Quận 9;2/2B Lê Văn Việt, P. Hiệp Phú, Q.9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
