"stt","số_văn_bản","ngày_công_bố","tên_cơ_sở","địa_chỉ","người_đứng_đầu_phụ_trách_chuyên_môn","số_điện_thoại","công_bố_mới","công_bố_lại","dừng_hoạt_động","ghi_chú"
"103","04/TB-TYT của Trạm Y tế xã Đông Anh","17/7/2025.","Điểm Y tế Dục Tú","Thôn Dục Tú 1 - xã Đông Anh - Thành phố Hà Nội","Nguyễn Thị Phương Lan","0985.052.347","1","null","null","null"
"103","04/TB-TYT của Trạm Y tế xã Đông Anh","17/7/2025.","Điểm Y tế Mai Lâm","Thôn Du Nội - xã Đông Anh - Thành phố Hà Nội","Hoàng Thị Minh Huệ","0984.205.265","1","null","null","null"
"103","04/TB-TYT của Trạm Y tế xã Đông Anh","17/7/2025.","Điểm Y tế Việt Hùng","Thôn Dục Nội - xã Đông Anh - Thành phố Hà Nội","Nguyễn Thị Minh Tâm","0392.121.971","1","null","null","null"
"103","04/TB-TYT của Trạm Y tế xã Đông Anh","17/7/2025.","Điểm Y tế Xuân Canh","Thôn Văn Tinh - xã Đông Anh - Thành phố Hà Nội","Trịnh Thị Kiện","0353.781.083","1","null","null","null"
"104","08/TB-TYT của Trạm Y tế xã Sơn Đồng","16/7/2025.","Điểm trạm Song Phương","Thôn 3, đường Nguyễn Viết Thứ, xã Sơn Đông, Hà Nội","Nguyễn Văn Chung","0906.035.999","1","null","null","null"
"104","08/TB-TYT của Trạm Y tế xã Sơn Đồng","16/7/2025.","Điểm trạm Sơn Đông","Thôn Rô, xã Sơn Đông, Hà Nội","Nguyễn Thị Hòa","0989.384.858","1","null","null","null"
"104","08/TB-TYT của Trạm Y tế xã Sơn Đồng","16/7/2025.","Điểm trạm Tiền Yên","Thôn Tiền Lệ, xã Sơn Đông, TP Hà Nội","Nguyễn Thị Vân","0356.316.354","1","null","null","null"
"104","08/TB-TYT của Trạm Y tế xã Sơn Đồng","16/7/2025.","Điểm trạm Lại Yên","Thôn 2, đường Cây Trà, xã Sơn Đông, TP Hà Nội","Vũ Tiến Hải","0936.109.235","1","null","null","null"
"104","08/TB-TYT của Trạm Y tế xã Sơn Đồng","16/7/2025.","Điểm trạm Vân Canh","Thôn Kim Hoàng, xã Sơn Đông, TP Hà Nội","Vũ Thị Phước","0977.783.975","1","null","null","null"
"105","02/TB-TYT của TYT phường Yên Nghĩa","15/7/2025.","Trạm Y tế phường Yên Nghĩa","Đường Quyết Thắng, tổ 8, phường Yên Nghĩa, Hà Nội","Nguyễn Anh Thành","0913.377.028","1","null","null","null"
"106","03/TB-TYT của TYT phường Tây Tựu","16/7/2025.","Trạm Y tế phường Tây Tựu","Số 55 phố Đăm, phường Tây Tựu, Hà Nội","Vũ Thị Thanh Hương","0972.266.565","1","null","null","null"
"107","01/TB-TYT của TYT xã Hoà Xá","16/7/2025.","Trạm Y tế Hoà Xá","Thôn Ngoại Hoàng, xã Hoà Xá, TP Hà Nội","Phùng Xuân Thạch","0963.600.793","1","null","null","null"
"107","01/TB-TYT của TYT xã Hoà Xá","16/7/2025.","Điểm y tế Vạn Thái","Thôn Thái Đường, xã Hoà Xá, TP Hà Nội","Trần Thị Phượng","0983.642.569","1","null","null","null"
"107","01/TB-TYT của TYT xã Hoà Xá","16/7/2025.","Điểm y tế Thái Hoà","Thôn Nhân, Hoà xã Hoà Xá, TP Hà Nội","Nghiêm Thị Thanh Xuân","0976.867.301","1","null","null","null"
"107","01/TB-TYT của TYT xã Hoà Xá","16/7/2025.","Điểm y tế Hoà Nam","Thôn Đinh Xuyên, Hoà xã Hoà Xá, TP Hà Nội","Phạm Thị Kim Thoa","0397.704.389","1","null","null","null"
"107","01/TB-TYT của TYT xã Hoà Xá","16/7/2025.","Điểm y tế Đặng Giang","Thôn Đặng Giang, Hoà xã Hoà Xá, TP Hà Nội","Đặng Thị Nhâm","0982.315.711","1","null","null","null"
"107","01/TB-TYT của TYT xã Hoà Xá","16/7/2025.","Điểm y tế Phù Lưu","Thôn Phù Lưu Hạ, Hoà xã Hoà Xá, TP Hà Nội","Trịnh Tuấn Hưng","0988.388.579","1","null","null","null"
"107","01/TB-TYT của TYT xã Hoà Xá","16/7/2025.","Điểm Y tế Hồng Quang","Thông Bài Lâm Thượng, Hoà xã Hoà Xá, TP Hà Nội","Dương Văn Khương","94697542.0","1","null","null","null"
"107","01/TB-TYT của TYT xã Hoà Xá","16/7/2025.","Điểm y tế Đội Bình","Thôn Triều Khúc, Hoà xã Hoà Xá, TP Hà Nội","Phạm Thị Yến","0385.084.363","1","null","null","null"
"108","11/TB-TYT của TYT phường Xuân Đỉnh","15/7/2025.","Trạm Y tế phường Xuân Đỉnh","Số 2 ngõ 205 đường Xuân Đỉnh, phường Xuân Đỉnh, TP Hà Nội","Phạm Thị Luyến","0978.467.898","1","null","null","null"
"108","11/TB-TYT của TYT phường Xuân Đỉnh","15/7/2025.","Điểm trạm y tế Xuân La","Số 32B đường Xuân La, phường Xuân Đỉnh, Hà Nội","Trần Thị Minh Lý","0947.507.242","1","null","null","null"
"109","10/TB-TYT của TYT phường Bồ Đề","15/7/2025.","Điểm y tế Bồ Đề - Phòng khám đa khoa Bồ Đề","Số 99 phố Bồ Đề, phường Bồ Đề","Vũ Thị Thu Thuỷ","0983.026.772","1","null","null","null"
"109","10/TB-TYT của TYT phường Bồ Đề","15/7/2025.","Điểm y tế Gia Thuỵ","Số 6 phố Gia Thuy, phường Bồ Đề","Phạm Quang Vi","0976.813.143","1","null","null","null"
"109","10/TB-TYT của TYT phường Bồ Đề","15/7/2025.","Điểm y tế Ngọc Thuỵ","Ngõ 268 Ngọc Thuỵ, phường Bồ Đề","Đồng Thị Thuỷ","0385.726.736","1","null","null","null"
"109","10/TB-TYT của TYT phường Bồ Đề","15/7/2025.","Điểm y tế Ngọc Lâm","Số 20 ngõ 298 đường Ngọc Lâm, phường Bồ Đề","Trần Thị Mai","0912.474.885","1","null","null","null"
"109","10/TB-TYT của TYT phường Bồ Đề","15/7/2025.","Phòng khám đa khoa Ngọc Lâm","Số 481 đường Ngọc Lâm, phường Bồ Đề","Nguyễn Linh Trang","0843.160.396","1","null","null","null"
"110","11/TB-TYT của TYT xã Đại Xuyên","16/7/2025.","Điểm Trạm Y tế xã Đại Xuyên","Thôn Vĩnh Ninh – xã Đại Xuyên - TP Hà Nội","Phạm Thị Hải Yến","0974.660.951","1","null","null","null"
"110","11/TB-TYT của TYT xã Đại Xuyên","16/7/2025.","Điểm Y tế Bạch Hạ","Thôn Hòa Thượng – xã Đại Xuyên - TP Hà Nội","Nguyễn Thanh Sơn","0328.887.388","1","null","null","null"
"110","11/TB-TYT của TYT xã Đại Xuyên","16/7/2025.","Điểm Y tế Phúc Tiến","Thôn Cổ Chế – xã Đại Xuyên - TP Hà Nội","Kiều Thị Bích Thúy","0373.597.222","1","null","null","null"
"110","11/TB-TYT của TYT xã Đại Xuyên","16/7/2025.","Điểm Y tế Khai Thái","Thôn Vĩnh Thượng – xã Đại Xuyên - TP Hà Nội","Hoàng Văn Tự","0984.388.997","1","null","null","null"
"110","11/TB-TYT của TYT xã Đại Xuyên","16/7/2025.","Điểm Y tế Quang Lãng","Thôn Mễ – xã Đại Xuyên - TP Hà Nội","Nguyễn Huy Đại","0986.674.464","1","null","null","null"
"110","11/TB-TYT của TYT xã Đại Xuyên","16/7/2025.","Điểm Y tế Minh Tân","Thôn Thành Lập 2 – xã Đại Xuyên - TP Hà Nội","Trần Thị Kim Ngân","0976.195.157","1","null","null","null"
"110","11/TB-TYT của TYT xã Đại Xuyên","16/7/2025.","Điểm Y tế Đại Xuyên","Thôn Cổ Trai – xã Đại Xuyên - TP Hà Nội","Nguyễn Hoàng Hiệp","0915.502.807","1","null","null","null"
"111","11/TB-SYT của TYT xã Phú Xuyên","16/7/2025.","Phòng tiêm chủng dịch vụ - Trạm Y tế xã Phú Xuyên","Tiểu Khu Thao Chính, Xã Phú Xuyên, Hà Nội","Vũ Hoàng Hải","0988.843.788","1","null","null","null"
"111","11/TB-SYT của TYT xã Phú Xuyên","16/7/2025.","Điểm Y tế Thao Chính","Tiểu Khu Thao Chính, Xã Phú Xuyên","Phạm Văn Phán","0987.198.322","1","null","null","null"
"111","11/TB-SYT của TYT xã Phú Xuyên","16/7/2025.","Điểm Y tế Sơn Hà","Thôn Sơn Thanh, Xã Phú Xuyên","Vũ Thị Thùy","0355.175.803","1","null","null","null"
"111","11/TB-SYT của TYT xã Phú Xuyên","16/7/2025.","Điểm Y tế Quang Trung","Thôn Văn Lãng, Xã Phú Xuyên","Ngô Văn Thuân","0913.507.241","1","null","null","null"
"111","11/TB-SYT của TYT xã Phú Xuyên","16/7/2025.","Điểm Y tế Nam Phong","Thôn Nam Phú, Xã Phú Xuyên","Nguyễn Đức Tiến","0983.857.246","1","null","null","null"
"111","11/TB-SYT của TYT xã Phú Xuyên","16/7/2025.","Điểm Y tế Nam Triều","Thôn Phong Triều, Xã Phú Xuyên","Phạm Thị Hiền","0966.118.289","1","null","null","null"
"111","11/TB-SYT của TYT xã Phú Xuyên","16/7/2025.","Điểm Y tế Nam Tiến","Thôn Chanh Thôn, Xã Phú Xuyên","Phùng Thế Tài","0858.796.333","1","null","null","null"
"111","11/TB-SYT của TYT xã Phú Xuyên","16/7/2025.","Điểm Y tế Hồng Thái","Thôn Duyên Trang, Xã Phú Xuyên","Hoàng Lệ Thi","0979.680.368","1","null","null","null"
"111","11/TB-SYT của TYT xã Phú Xuyên","16/7/2025.","Điểm Y tế Vạn Điểm","Thôn Vạn Điểm, Xã Phú Xuyên","Nguyễn Thị Tuyết Nhung","0389.293.199","1","null","null","null"
"111","11/TB-SYT của TYT xã Phú Xuyên","16/7/2025.","Điểm Y tế Minh Cường","Thôn Đống Chanh, Xã Phú Xuyên","Nguyễn Phương Trường","0868.645.698","1","null","null","null"
"111","11/TB-SYT của TYT xã Phú Xuyên","16/7/2025.","Điểm Y tế Thống Nhất","Thôn Thượng Giáp, Xã Phú Xuyên","Trần Đình Thư","0912.976.725","1","null","null","null"
"111","11/TB-SYT của TYT xã Phú Xuyên","16/7/2025.","Điểm Y tế Văn Tự","Thôn Đinh Xá, Xã Phú Xuyên","Đinh Thị Lũy","0969.206.671","1","null","null","null"
"112","06/TB-TYT của TYT xã Chuyên Mỹ","16/7/2025.","Điểm Y tế Châu Can","Thôn Cổ Châu, Xã Chuyên Mỹ","BS. Lê Trung Tiên","914232259.0","1","null","null","null"
"112","06/TB-TYT của TYT xã Chuyên Mỹ","16/7/2025.","Điểm Y tế Vân Từ","Thôn Chính Vân, Xã Chuyên Mỹ","BS. Cao Văn Giao","976878069.0","1","null","null","null"
"112","06/TB-TYT của TYT xã Chuyên Mỹ","16/7/2025.","Điểm Y tế Phú Yên","Thôn Giẽ Hạ, Xã Chuyên Mỹ","BS. Nguyễn Văn Tuyển","915327926.0","1","null","null","null"
"112","06/TB-TYT của TYT xã Chuyên Mỹ","16/7/2025.","Điểm Y tế Chuôn Tre","Thôn Trung, Xã Chuyên Mỹ","BS. Phạm Văn Dũng","914344490.0","1","null","null","null"
"112","06/TB-TYT của TYT xã Chuyên Mỹ","16/7/2025.","Điểm Y tế Tân Dân","Thôn Đại Nghiệp, Xã Chuyên Mỹ","BS. Ngô Thanh Hào","936818922.0","1","null","null","null"
"113","03/TB-TYT của TYT phường Long Biên","16/7/2025.","Điểm y tế Thạch Bàn","Phố Đồng Dinh, phường Long Biên, Tp Hà Nội","Hoàng Hữu Huy","904733768.0","1","null","null","null"
"113","03/TB-TYT của TYT phường Long Biên","16/7/2025.","Điểm y tế Long Biên","Số 24, ngõ 211 đường Bát Khối, phường Long Biên, Tp Hà Nội","Phan Thị Thu Hà","901799662.0","1","null","null","null"
"113","03/TB-TYT của TYT phường Long Biên","16/7/2025.","Điểm y tế Cự Khối","Số 595 đường Bát Khối, phường Long Biên, Tp Hà Nội","Phạm Thị Anh Đào","978691202.0","1","null","null","null"
"113","03/TB-TYT của TYT phường Long Biên","16/7/2025.","Phòng khám đa khoa Sài Đồng","Phố Đồng Dinh, phường Long Biên, Tp Hà Nội","Nguyễn Thị Thuý","932428699.0","1","null","null","null"
"114","07/TB-TYT của TYT xã Thanh Trì","16/7/2025.","Điểm y tế Ngũ Hiệp","Tự Khoát- Nam Phù- Hà Nội","YS Nguyễn Thị Thanh Thảo","332176768.0","1","null","null","null"
"114","07/TB-TYT của TYT xã Thanh Trì","16/7/2025.","Điểm y tế Yên Mỹ","Thôn 3- Thanh Trì- Hà Nội","BS Nguyễn Thị An Khang","912417577.0","1","null","null","null"
"114","07/TB-TYT của TYT xã Thanh Trì","16/7/2025.","Điểm y tế TT Văn Điển","Số 1- ngách 373/37 đường Ngọc Hồi","YS Trương Thị Minh Thư","942945858.0","1","null","null","null"
"115","10/TB-TYT của TYT xã Đa Phúc","17/7/2025.","Trạm y tế Đa Phúc","Thôn Ba Hàng xã Đa Phúc","Nguyễn Thị Huệ","974265194.0","1","null","null","null"
"115","10/TB-TYT của TYT xã Đa Phúc","17/7/2025.","Điểm y tế Bắc Phú","Thôn Yên Tàng xã Đa Phúc Hà Nội","Nguyễn Thị Thắng","368736608.0","1","null","null","null"
"115","10/TB-TYT của TYT xã Đa Phúc","17/7/2025.","Điểm y tế Đức Hòa.","Thôn Thượng xã Đa Phúc-TP Hà Nội","Nguyễn Thị Tâm","974369676.0","1","null","null","null"
"115","10/TB-TYT của TYT xã Đa Phúc","17/7/2025.","Điểm y tế Tân Hưng","Thôn Cốc Lương xã Đa Phúc-TP Hà Nội","Đỗ Thị Thu Hương","987872140.0","1","null","null","null"
"115","10/TB-TYT của TYT xã Đa Phúc","17/7/2025.","Điểm y tế Kim Lũ","Thôn Kim Thượng xã Đa Phúc-TP Hà Nội","Lê Văn Thiện","976709179.0","1","null","null","null"
"115","10/TB-TYT của TYT xã Đa Phúc","17/7/2025.","Điểm y tế Việt Long","Thôn Lương Phúc xã Đa Phúc-TP Hà Nội","Nguyễn Tiến Ánh","963104637.0","1","null","null","null"
"115","10/TB-TYT của TYT xã Đa Phúc","17/7/2025.","Điểm y tế Xuân Thu","Thôn Xuân Lai xã Đa Phúc-TP Hà Nội","Nguyễn Văn Khanh","977089766.0","1","null","null","null"
"116","13/TB-TYT của TYT xã Vĩnh Thanh","17/7/2025.","Trạm Y tế xã Vĩnh Thanh","Thôn Ngọc Chi - Xã Vĩnh Thanh - Tp Hà Nội","Vũ Anh Phương","977303832.0","1","null","null","null"
"116","13/TB-TYT của TYT xã Vĩnh Thanh","17/7/2025.","Điểm Y tế Tàm Xá","Thôn đông - Xã Vĩnh Thanh - Tp Hà Nội","Nguyễn Thị Ngà","869038788.0","1","null","null","null"
"116","13/TB-TYT của TYT xã Vĩnh Thanh","17/7/2025.","Điểm Y tế Hải Bối","Thôn Hải Bối - Xã Vĩnh Thanh - Tp Hà Nội","Nguyễn Thị Huyền","982246577.0","1","null","null","null"
"117","02/TB-TYT của TYT xã Vân Đình","16/7/2025.","Trạm Y tế xã Vân Đình","Số 3, Thanh ấm, xã Vân Đình, Thành phố Hà Nội","Bác sỹ Nguyễn Xuân Tính","985686317.0","1","null","null","null"
"117","02/TB-TYT của TYT xã Vân Đình","16/7/2025.","Điểm y tế Tân Phương","Thôn Vân đình, xã Vân Đình","Nguyễn Văn Thanh","094 8377488","1","null","null","null"
"117","02/TB-TYT của TYT xã Vân Đình","16/7/2025.","Điểm y tế Phương Tú","Thôn Dương Khê, xã Vân Đình","Nguyễn Hoàng Văn","977346771.0","1","null","null","null"
"117","02/TB-TYT của TYT xã Vân Đình","16/7/2025.","Điểm y tế Đồng Tiến","Thôn Thành Vật, xã Vân Đình","Nguyễn Đức Trại","914631118.0","1","null","null","null"
"117","02/TB-TYT của TYT xã Vân Đình","16/7/2025.","Điểm y tế Sơn Công","Thôn Nghi Lộc, xã Vân Đình","Nguyễn Văn Mạnh","986392129.0","1","null","null","null"
"117","02/TB-TYT của TYT xã Vân Đình","16/7/2025.","Điểm y tế Cao Thành","Thôn Tử Dương, xã Vân Đình","Nguyễn Thị Mai","0984708530.","1","null","null","null"
"117","02/TB-TYT của TYT xã Vân Đình","16/7/2025.","Điểm y tế Tảo Dương Văn","Số 29, xóm Đoàn kết, Tảo Khê, xã Vân Đình","Nguyễn Hải Phong","976868425.0","1","null","null","null"
"118","06/TB-TYT của TYT phường Việt Hưng","15/7/2025.","Điểm Y tế Việt Hưng","Số 83, ngõ 139 phố Hoa Lâm, phường Việt Hưng","Lưu Thị Loan","988390840.0","1","null","null","null"
"118","06/TB-TYT của TYT phường Việt Hưng","15/7/2025.","Điểm Y tế Giang Biên","Tổ 5 – phường Việt Hưng","Nguyễn Thị Mai Hương","978056558.0","1","null","null","null"
"118","06/TB-TYT của TYT phường Việt Hưng","15/7/2025.","Điểm Y tế Thượng Thanh","Số 94/89A Phố Thượng Thanh, phường Việt Hưng","Phạm Thị Ít Lan","366962367.0","1","null","null","null"
"118","06/TB-TYT của TYT phường Việt Hưng","15/7/2025.","Điểm Y tế Đức Giang","Ngõ 41 phố Ô Cách, phường Việt Hưng","Nguyễn Thắng Sơn","986095797.0","1","null","null","null"
"118","06/TB-TYT của TYT phường Việt Hưng","15/7/2025.","Phòng khám đa khoa Trung tâm","Ngõ 01 phố Bùi Thiện Ngô, khu đô thị Việt Hưng, phường Việt Hưng","Nguyễn Đức Anh","983085717.0","1","null","null","null"
"119","08/TB-TYT của TYT xã Ngọc Hồi","16/7/2025.","Điểm Trạm Y tế","Thôn Đại Áng - Xã Ngọc Hồi - Thành phố Hà Nội","Thạc sỹ.Bs Phạm Đăng Quân","904472674.0","1","null","null","null"
"119","08/TB-TYT của TYT xã Ngọc Hồi","16/7/2025.","Điểm Y tế Ngọc Hồi","Số 1- Ngõ 189 - Đường Vĩnh Khang - Xã Ngọc Hồi - Thành Phố Hà Nội","Bác sỹ Nguyễn Thị Huyền Trang","345600737.0","1","null","null","null"
"119","08/TB-TYT của TYT xã Ngọc Hồi","16/7/2025.","Điểm Y tế Liên Ninh","Số 16- Đường Trung Vũ - Thôn Yên Phú - Xã Ngọc Hồi - Thành Phố Hà Nội","Bác sỹ Phạm Văn Hữu","972118659.0","1","null","null","null"
"120","10/TB-TYT của TYT xã Dương Hoà","16/7/2025.","Phòng tiêm chủng dịch vụ - Trạm Y tế Dương Hòa","Thôn Đoàn Kết - Xã Dương Hòa - TP Hà Nội","Khánh Thị Việt Hà","936789083.0","1","null","null","null"
"120","10/TB-TYT của TYT xã Dương Hoà","16/7/2025.","Điểm Y tế Minh Khai","Thôn 4 - Minh Khai - Xã Dương Hòa - TP Hà Nội","Đỗ Song An","912153588.0","1","null","null","null"
"120","10/TB-TYT của TYT xã Dương Hoà","16/7/2025.","Điểm Y tế Cát Quế","Thôn 2 - Cát Quế - Xã Dương Hòa - TP Hà Nội","Nguyễn Thị Chuyên","988970521.0","1","null","null","null"
"120","10/TB-TYT của TYT xã Dương Hoà","16/7/2025.","Điểm Y tế Yên Sở","Thôn 4 - Yên Sở - Xã Quốc Oai - TP Hà Nội","Trần Thị Yến","962271762.0","1","null","null","null"
"120","10/TB-TYT của TYT xã Dương Hoà","16/7/2025.","Điểm Y tế Đắc Sở","Thôn Chùa Ngu - Đắc Sở - Xã Dương Hòa - TP Hà Nội","Nguyễn Thị Liên","984430984.0","1","null","null","null"
"121","10/TB-TYT của TYT xã Phú Cát","16/7/2025.","Trạm y tế Phú Cát","Thôn Bạch Thạch, xã Phú Cát, TP Hà Nội","Đỗ Duy Dương","964061187.0","1","null","null","null"
"121","10/TB-TYT của TYT xã Phú Cát","16/7/2025.","Điểm y tế Cát Bình","Thôn 5 xã Phú Cát, TP Hà Nội","Nguyễn Huyền Trang","973204687.0","1","null","null","null"
"121","10/TB-TYT của TYT xã Phú Cát","16/7/2025.","Điểm y tế Đông Yên","Thôn Đông Hạ, xã Phú Cát, TP Hà Nội","Đỗ Duy Toàn","989883023.0","1","null","null","null"
"121","10/TB-TYT của TYT xã Phú Cát","16/7/2025.","Điểm y tế Phú Mãn","Thôn Đồng Âm, xã Phú Cát, TP Hà Nội","Bùi Tiến Phương","974513556.0","1","null","null","null"
"122","23/TB-TYT của TYT phường Hai Bà Trưng","16/7/2025","Điểm y tế Lê Đại Hành","Số 2 ngõ 55 phố Lê Đại Hành, phường Hai Bà Trưng, Hà Nội.","Nguyễn Thu Hương","966100821.0","1","null","null","null"
"122","23/TB-TYT của TYT phường Hai Bà Trưng","16/7/2025","Điểm y tế Nguyễn Du","Số 92 Mai Hắc Đế, phường Hai Bà Trưng, Hà Nội.","Phạm Thị Xuân Hoài","367058698.0","1","null","null","null"
"122","23/TB-TYT của TYT phường Hai Bà Trưng","16/7/2025","Điểm y tế Đồng Nhân","Số 2 Hương Viên, phường Hai Bà Trưng, Hà Nội.","Phạm Quỳnh Trang","904806203.0","1","null","null","null"
